test_family,test_role,role_note,contrast,protocol,condition,ablation,run_id,context_label,reference_ablation,candidate_ablation,metric,group_a,group_b,n_seed_pairs,mean_delta,effect_size,effect_size_type,ci95_low,ci95_high,p_raw,p_fdr_bh,direction
ablation_vs_reference_within_seed,degenerate_ablation_diagnostic,Diagnostic of architectural collapse or extreme regime shift under novg; should not be treated as a clean localized effect.,novg minus full,stage3_steps,R1_T2,,,protocol=stage3_steps | condition=R1_T2 | reference_ablation=full | candidate_ablation=novg,full,novg,pause_ticks_mean,full,novg,150,-3.4748,-31.95593627977533,cohen_dz,-3.4916,-3.4569333333333336,4.999750012499375e-05,8.196311495900614e-05,negative
vte_binary_within_seed,wrapper_sanity_check,Expected VTE-label separation on metrics used by or adjacent to the VTE measurement definition; not independent model validation.,vte_minus_nonvte,stage3_steps,R1_T2,full,shock_full_one_shot_full_all_steps,protocol=stage3_steps | condition=R1_T2 | ablation=full | run_id=shock_full_one_shot_f…,,,z_idphi,nonvte,vte,50,1.5453054536353488,24.476265264262945,cohen_dz,1.5274764572022477,1.5626633380518409,4.999750012499375e-05,8.196311495900614e-05,positive
vte_binary_within_seed,wrapper_sanity_check,Expected VTE-label separation on metrics used by or adjacent to the VTE measurement definition; not independent model validation.,vte_minus_nonvte,stage3_steps,R1_T2,novp,shock_novp_one_shot_novp_all_steps,protocol=stage3_steps | condition=R1_T2 | ablation=novp | run_id=shock_novp_one_shot_n…,,,z_idphi,nonvte,vte,50,1.5453054536353488,24.476265264262945,cohen_dz,1.5276451097352743,1.5624472968847245,4.999750012499375e-05,8.196311495900614e-05,positive
vte_binary_within_seed,wrapper_sanity_check,Expected VTE-label separation on metrics used by or adjacent to the VTE measurement definition; not independent model validation.,vte_minus_nonvte,stage3_steps,R1_T2,nox,shock_nox_one_shot_nox_all_steps,protocol=stage3_steps | condition=R1_T2 | ablation=nox | run_id=shock_nox_one_shot_no…,,,z_idphi,nonvte,vte,50,1.5379568442378049,23.4746405376632,cohen_dz,1.5204231623211584,1.5567353766707208,4.999750012499375e-05,8.196311495900614e-05,positive
vte_binary_within_seed,wrapper_sanity_check,Expected VTE-label separation on metrics used by or adjacent to the VTE measurement definition; not independent model validation.,vte_minus_nonvte,stage3_steps,R1_T2,novp,treat_novp_one_shot_novp_all_steps,protocol=stage3_steps | condition=R1_T2 | ablation=novp | run_id=treat_novp_one_shot_n…,,,z_idphi,nonvte,vte,50,1.5552135748302018,22.86665383970997,cohen_dz,1.53691404195598,1.5738480126771976,4.999750012499375e-05,8.196311495900614e-05,positive
vte_binary_within_seed,wrapper_sanity_check,Expected VTE-label separation on metrics used by or adjacent to the VTE measurement definition; not independent model validation.,vte_minus_nonvte,stage3_steps,R1_T2,full,balanced_full_balanced_conflict_full_all_steps,protocol=stage3_steps | condition=R1_T2 | ablation=full | run_id=balanced_full_balance…,,,z_idphi,nonvte,vte,50,1.5478485139031222,21.52023339975643,cohen_dz,1.5282288827818875,1.5671357230439555,4.999750012499375e-05,8.196311495900614e-05,positive
vte_binary_within_seed,wrapper_sanity_check,Expected VTE-label separation on metrics used by or adjacent to the VTE measurement definition; not independent model validation.,vte_minus_nonvte,stage3_steps,R1_T2,novp,balanced_novp_balanced_conflict_novp_all_steps,protocol=stage3_steps | condition=R1_T2 | ablation=novp | run_id=balanced_novp_balance…,,,z_idphi,nonvte,vte,50,1.5478485139031222,21.52023339975643,cohen_dz,1.5276874671717489,1.5670396067364336,4.999750012499375e-05,8.196311495900614e-05,positive
vte_binary_within_seed,wrapper_sanity_check,Expected VTE-label separation on metrics used by or adjacent to the VTE measurement definition; not independent model validation.,vte_minus_nonvte,stage3_steps,R1_T2,nox,balanced_nox_balanced_conflict_nox_all_steps,protocol=stage3_steps | condition=R1_T2 | ablation=nox | run_id=balanced_nox_balanced…,,,z_idphi,nonvte,vte,50,1.5478485139031222,21.52023339975643,cohen_dz,1.528614290363521,1.5678124995099234,4.999750012499375e-05,8.196311495900614e-05,positive
vte_binary_within_seed,wrapper_sanity_check,Expected VTE-label separation on metrics used by or adjacent to the VTE measurement definition; not independent model validation.,vte_minus_nonvte,stage3_steps,R1_T2,one_shot_off,balanced_one_shot_off_balanced_conflict_one_shot_off_all_steps,protocol=stage3_steps | condition=R1_T2 | ablation=one_shot_off | run_id=balanced_one_shot_off…,,,z_idphi,nonvte,vte,50,1.5478485139031222,21.52023339975643,cohen_dz,1.5277967905999543,1.567268060604171,4.999750012499375e-05,8.196311495900614e-05,positive
vte_binary_within_seed,wrapper_sanity_check,Expected VTE-label separation on metrics used by or adjacent to the VTE measurement definition; not independent model validation.,vte_minus_nonvte,stage3_steps,R1_T2,one_shot_off,shock_one_shot_off_one_shot_one_shot_off_all_steps,protocol=stage3_steps | condition=R1_T2 | ablation=one_shot_off | run_id=shock_one_shot_off_on…,,,z_idphi,nonvte,vte,50,1.5478485139031222,21.52023339975643,cohen_dz,1.5282639469668684,1.5674619540239572,4.999750012499375e-05,8.196311495900614e-05,positive
vte_binary_within_seed,wrapper_sanity_check,Expected VTE-label separation on metrics used by or adjacent to the VTE measurement definition; not independent model validation.,vte_minus_nonvte,stage3_steps,R1_T2,one_shot_off,treat_one_shot_off_one_shot_one_shot_off_all_steps,protocol=stage3_steps | condition=R1_T2 | ablation=one_shot_off | run_id=treat_one_shot_off_on…,,,z_idphi,nonvte,vte,50,1.5478485139031222,21.52023339975643,cohen_dz,1.5281256469129705,1.5676142016889234,4.999750012499375e-05,8.196311495900614e-05,positive
